VideoDuration,VideoDatePublished,VideoID,VideoImage,VideoTitle,VideoUrl,VideoViews,Like,Unlike,Khan Style%,Animation%  ,Talking Head%                 ,Whiteboard%
PT14M6S,10/27/2019,RY2wQY70TeY,https://i.ytimg.com/vi/RY2wQY70TeY/maxresdefault.jpg,26 FAST MATHS TRICKS YOU MUST KNOW,https://www.youtube.com/embed/RY2wQY70TeY,8512381,123,6,0,12,13,10
PT14M48S,5/10/2016,85RMEh-afOg,https://i.ytimg.com/vi/85RMEh-afOg/maxresdefault.jpg,Frog Dissection--Sixth Grade,https://www.youtube.com/embed/85RMEh-afOg,3066927,6574,102,0,12,13,10
PT15M24S,6/3/2017,1_DSMABQZbk,https://i.ytimg.com/vi/1_DSMABQZbk/maxresdefault.jpg,How to become a Math Genius.\u2714\ufe0f How do genius people See a math problem! by mathOgenius,https://www.youtube.com/embed/1_DSMABQZbk,1842091,856,25,0,11,13,10
PT10M25S,2/21/2017,VoLZXXQL-YY,https://i.ytimg.com/vi/VoLZXXQL-YY/maxresdefault.jpg,9 Incredible Science Facts You Probably Didn't Learn At School,https://www.youtube.com/embed/VoLZXXQL-YY,27077415,475,42,0,11,12,1
PT5M17S,8/21/2020,PNDaKY9pgtM,https://i.ytimg.com/vi/PNDaKY9pgtM/maxresdefault.jpg,10 SECRET STUDY TIPS TO SCORE HIGHEST IN EXAMS || FASTEST WAY TO COVER ENTIRE SYLLABUS | STUDY HACKS,,2446815,259,12,0,22,12,10
PT13M46S,11/23/2020,LkhPRz7Hocg,https://i.ytimg.com/vi/LkhPRz7Hocg/maxresdefault.jpg,Algebra Basics: Laws Of Exponents - Math Antics,https://www.youtube.com/embed/LkhPRz7Hocg,451992,968,32,0,11,14,10
PT7M38S,3/4/2019,vkhs-QuEVfQ,https://i.ytimg.com/vi/vkhs-QuEVfQ/maxresdefault.jpg,"Pythagoras Theorem, Fractions, Ratio, Proportion and much more!! | #aumsum #kids #science",https://www.youtube.com/embed/vkhs-QuEVfQ,789909,598,25,0,11,15,10
PT49M32S,10/31/2018,0vuHnTWs-VY,https://i.ytimg.com/vi/0vuHnTWs-VY/maxresdefault.jpg,Fractions & Decimals - Chapter 2 - Introduction - Class 7,https://www.youtube.com/embed/0vuHnTWs-VY,2190940,663,42,0,11,15,10
PT72M9S,5/2/2016,TMubSggUOVE,https://i.ytimg.com/vi/TMubSggUOVE/maxresdefault.jpg,Math Videos:  How To Learn Basic Arithmetic Fast - Online Tutorial Lessons,https://www.youtube.com/embed/TMubSggUOVE,2092675,358,12,0,11,15,10
PT6M17S,8/24/2015,9hZkk73nJ_Y,https://i.ytimg.com/vi/9hZkk73nJ_Y/maxresdefault.jpg,Introduction to Fractions | #aumsum #kids #science #education #children,https://www.youtube.com/embed/9hZkk73nJ_Y,2475108,745,42,0,12,15,10
PT264M17S,3/24/2019,RdTozKPY_OQ,https://i.ytimg.com/vi/RdTozKPY_OQ/maxresdefault.jpg,Microsoft Excel Tutorial for Beginners | Excel Training | Excel Formulas and Functions | Edureka,https://www.youtube.com/embed/RdTozKPY_,2669946,888,32,0,1,15,10
PT10M29S,10/23/2015,LDIiYKYvvdA,https://i.ytimg.com/vi/LDIiYKYvvdA/maxresdefault.jpg,Algebra Basics: Solving 2-Step Equations - Math Antics,https://www.youtube.com/embed/LDIiYKYvvdA,3312625,666,22,0,45,15,10
PT13M53S,3/16/2021,vV7C7bXm4VI,https://i.ytimg.com/vi/vV7C7bXm4VI/maxresdefault.jpg,Math Antics - Number Patterns,https://www.youtube.com/embed/vV7C7bXm4VI,203366,999,55,0,10,15,10
