VideoDuration,VideoPublished Date,VideoID,VideoImageURL,VideoTitle,VideoURL,VideoViews,Like,Unlike,Khan Style%,Animation%  ,Talking Head%                 ,Whiteboard%
PT17M20S,5/13/2019,o9APwMAbDrY,https://i.ytimg.com/vi/o9APwMAbDrY/maxresdefault.jpg,"""5th std Maths Syllabus | Mathematics | Money Part -1 | Exercises & Activities",https://www.youtube.com/embed/o9APwMAbDrY,29589,845,45,0,2,13,51
PT9M19S,10/12/2010,dRrvQ1vZxcg,https://i.ytimg.com/vi/dRrvQ1vZxcg/hqdefault.jpg,Video SparkNotes: Shakespeare's Romeo and Juliet summary,https://www.youtube.com/embed/dRrvQ1vZxcg,2716943,520,85,0,12,13,10
PT15M9S,5/17/2019,fyBe5xftjj8,https://i.ytimg.com/vi/fyBe5xftjj8/maxresdefault.jpg,Symmetry Part- 2 || 5th std Maths Syllabus || Exercises and Activities || Easy to Learn Maths,https://www.youtube.com/embed/fyBe5xftjj8,3684,954,65,0,12,13,10
PT7M1S,10/21/2020,fXzhv-thhCY,https://i.ytimg.com/vi/fXzhv-thhCY/maxresdefault.jpg,1st STD Maths CBSE Syllabus | CBSE Maths | Chapter - Bigger Number | Mathematics Lesson -11,https://www.youtube.com/embed/fXzhv-thhCY,1653,856,25,0,11,13,10
PT35M16S,6/20/2020,ZaB52lph8gM,https://i.ytimg.com/vi/ZaB52lph8gM/maxresdefault.jpg,Class 5 || CBSE || Maths || Let us start learning Mathematics || The Fish Tale,https://www.youtube.com/embed/ZaB52lph8gM,128962,456,65,0,11,12,1
PT37M41S,4/14/2017,wZq2tyLNPRU,https://i.ytimg.com/vi/wZq2tyLNPRU/maxresdefault.jpg,19 Best Short English Stories for Kids Collection | Infobells,https://www.youtube.com/embed/wZq2tyLNPRU,40089594,578,45,0,22,12,10
PT18M7S,1/4/2016,dDBjqrq82Wc,https://i.ytimg.com/vi/dDBjqrq82Wc/maxresdefault.jpg,Reading 2 Letter Words | 3 Letter Words | 4 Letter Words | 5 Letter Words | Learn Englis,https://www.youtube.com/embed/dDBjqrq82Wc,19365092,985,85,0,11,14,10
PT6M1S,3/30/2017,s4tS-ZmpJfw,https://i.ytimg.com/vi/s4tS-ZmpJfw/maxresdefault.jpg,Reflectional Symmetry and Rotational Symmetry | Don't Memorise,https://www.youtube.com/embed/s4tS-ZmpJfw,663259,996,69,0,11,15,10
PT6M11S,1/29/2021,TMf_4-OgQAs,https://i.ytimg.com/vi/TMf_4-OgQAs/maxresdefault.jpg,u2730 Symmetry craft ideas | Maths | How to make a symmetry paper crafts | Mathematics |,https://www.youtube.com/embed/TMf_4-OgQAs,4764,564,57,0,11,15,10
PT36M22S,8/22/2020,PALoFQLQrW4,https://i.ytimg.com/vi/PALoFQLQrW4/maxresdefault.jpg,Symmetry full chapter | Mathematics | Class 6 | CBSE Syllabus,https://www.youtube.com/embed/PALoFQLQrW4,856,152,51,0,11,15,10
PT48M23S,4/16/2016,3s57HonYXDQ,https://i.ytimg.com/vi/3s57HonYXDQ/maxresdefault.jpg,Phonics Course Level 1 | Learn Phonics For Kids | Alphabet Sounds | Phonics For Pre School,https://www.youtube.com/embed/3s57HonYXDQ,5998267,485,31,0,12,15,10
PT6M10S,10/15/2015,kqVO4ROAZ6Y,https://i.ytimg.com/vi/kqVO4ROAZ6Y/hqdefault.jpg,Good Manners in Everyday Life for kids in English | Good Manners Videos For All | Good Habit,https://www.youtube.com/embed/kqVO4ROAZ6,2858440,454,54,0,1,15,10
PT18M54S,5/10/2019,3MJCLPPVPlI,https://i.ytimg.com/vi/3MJCLPPVPlI/maxresdefault.jpg,5th std Maths Syllabus | Mathematics | Time Part-1 | Exercises & Activities,https://www.youtube.com/embed/3MJCLPPVPlI,63152,212,14,0,45,15,10
PT5M12S,5/1/2020,NwO363dyeOg,https://i.ytimg.com/vi/NwO363dyeOg/maxresdefault.jpg,Perimeter | Maths for Kids | Grade 4 | Periwinkle,https://www.youtube.com/embed/NwO363dyeOg,288953,956,42,0,10,15,10
PT17M34S,5/21/2019,tZloJ9O-U44,https://i.ytimg.com/vi/tZloJ9O-U44/maxresdefault.jpg,Fractions Part-2 || 5th std Maths Syllabus || Exercises and Activities || Easy to Learn Maths,https://www.youtube.com/embed/tZloJ9O-U44,6670,547,25,0,12,1,15
PT25M48S,4/22/2016,FrJ1R23aj4U,https://i.ytimg.com/vi/FrJ1R23aj4U/maxresdefault.jpg,CBSE Class 2 Maths | CBSE Maths Chapter 5 - Patterns | NCERT | CBSE Syllabus | Maths For Grade 2,https://www.youtube.com/embed/FrJ1R23aj4U,354382,6210,65,0,13,5,15
PT4M31S,10/9/2019,wfAyddSr9_w,https://i.ytimg.com/vi/wfAyddSr9_w/maxresdefault.jpg,Understanding Patterns | Mathematics Grade 1 | Periwinkle,https://www.youtube.com/embed/wfAyddSr9_w,335093,856,32,0,14,15,10
